,experiment,num,entropy
0,reference_sphere___disconnected_testing,0,1.1692736492530853
1,reference_sphere___disconnected_testing,1,1.188096757170031
2,reference_sphere___disconnected_testing,10,1.1837355781939056
3,reference_sphere___disconnected_testing,11,1.1728165338416416
4,reference_sphere___disconnected_testing,12,1.1828217859793697
5,reference_sphere___disconnected_testing,13,1.1831423582715714
6,reference_sphere___disconnected_testing,14,1.1823240058854219
7,reference_sphere___disconnected_testing,15,1.1753177920057585
8,reference_sphere___disconnected_testing,16,1.1922320210050008
9,reference_sphere___disconnected_testing,17,1.188916434410167
10,reference_sphere___disconnected_testing,18,1.1994976761937262
11,reference_sphere___disconnected_testing,19,1.1965809136799128
12,reference_sphere___disconnected_testing,2,1.1962782517110042
13,reference_sphere___disconnected_testing,20,1.1870305308329963
14,reference_sphere___disconnected_testing,21,1.1698688494697589
15,reference_sphere___disconnected_testing,22,1.1863183916289657
16,reference_sphere___disconnected_testing,23,1.1863902786959553
17,reference_sphere___disconnected_testing,24,1.183681764716925
18,reference_sphere___disconnected_testing,25,1.1901342039427782
19,reference_sphere___disconnected_testing,26,1.1919727757660248
20,reference_sphere___disconnected_testing,27,1.1873412814682314
21,reference_sphere___disconnected_testing,28,1.1854558758503522
22,reference_sphere___disconnected_testing,29,1.1948543610079532
23,reference_sphere___disconnected_testing,3,1.19641356374592
24,reference_sphere___disconnected_testing,30,1.182094773200889
25,reference_sphere___disconnected_testing,31,1.1936023228055628
26,reference_sphere___disconnected_testing,32,1.1883098556586251
27,reference_sphere___disconnected_testing,33,1.1735245317297314
28,reference_sphere___disconnected_testing,34,1.1932695914003972
29,reference_sphere___disconnected_testing,35,1.1967004527536924
30,reference_sphere___disconnected_testing,36,1.18196669988952
31,reference_sphere___disconnected_testing,37,1.1976717500515588
32,reference_sphere___disconnected_testing,38,1.1860414568971325
33,reference_sphere___disconnected_testing,39,1.1803512116908608
34,reference_sphere___disconnected_testing,4,1.1919408424935096
35,reference_sphere___disconnected_testing,40,1.1866140196445476
36,reference_sphere___disconnected_testing,41,1.1955194693235043
37,reference_sphere___disconnected_testing,42,1.1879674553442108
38,reference_sphere___disconnected_testing,43,1.1915268220382025
39,reference_sphere___disconnected_testing,44,1.1951087929064648
40,reference_sphere___disconnected_testing,45,1.178026516318685
41,reference_sphere___disconnected_testing,46,1.192577662196292
42,reference_sphere___disconnected_testing,47,1.1795642669190975
43,reference_sphere___disconnected_testing,48,1.1930216661882997
44,reference_sphere___disconnected_testing,49,1.1932015490085335
45,reference_sphere___disconnected_testing,5,1.177157527195033
46,reference_sphere___disconnected_testing,50,1.1824569940703882
47,reference_sphere___disconnected_testing,51,1.1874983638992487
48,reference_sphere___disconnected_testing,52,1.1722877627029376
49,reference_sphere___disconnected_testing,53,1.1968561802112467
50,reference_sphere___disconnected_testing,54,1.196178299871931
51,reference_sphere___disconnected_testing,55,1.185359721856147
52,reference_sphere___disconnected_testing,56,1.181459024359312
53,reference_sphere___disconnected_testing,57,1.1882898750889286
54,reference_sphere___disconnected_testing,58,1.1889807198552809
55,reference_sphere___disconnected_testing,59,1.1830143351407794
56,reference_sphere___disconnected_testing,6,1.1785107967764819
57,reference_sphere___disconnected_testing,60,1.1796443557294283
58,reference_sphere___disconnected_testing,61,1.175658703963007
59,reference_sphere___disconnected_testing,62,1.1840048729921604
60,reference_sphere___disconnected_testing,63,1.1944748800892198
61,reference_sphere___disconnected_testing,64,1.180344911399645
62,reference_sphere___disconnected_testing,65,1.1970395311025774
63,reference_sphere___disconnected_testing,66,1.1797747536876404
64,reference_sphere___disconnected_testing,67,1.1804347139087106
