,experiment,num,iterations
0,uniform_biased_RRT_biased_off_center_disconnected,-1,170.1017923241769
1,uniform_biased_RRT_biased_off_center_disconnected,0,167.48661865386325
2,uniform_biased_RRT_biased_off_center_disconnected,1,170.44464092739955
3,uniform_biased_RRT_biased_off_center_disconnected,10,170.68400243309003
4,uniform_biased_RRT_biased_off_center_disconnected,11,169.00751593568643
5,uniform_biased_RRT_biased_off_center_disconnected,12,171.00375177448794
6,uniform_biased_RRT_biased_off_center_disconnected,13,168.55396581524872
7,uniform_biased_RRT_biased_off_center_disconnected,14,170.15068363979256
8,uniform_biased_RRT_biased_off_center_disconnected,15,169.2866160370845
9,uniform_biased_RRT_biased_off_center_disconnected,16,170.00555077040866
10,uniform_biased_RRT_biased_off_center_disconnected,17,169.36514683153013
11,uniform_biased_RRT_biased_off_center_disconnected,18,170.3096908031216
12,uniform_biased_RRT_biased_off_center_disconnected,19,170.58155310316897
13,uniform_biased_RRT_biased_off_center_disconnected,2,169.84933024473764
14,uniform_biased_RRT_biased_off_center_disconnected,20,170.15413140629457
15,uniform_biased_RRT_biased_off_center_disconnected,21,171.32135708566852
16,uniform_biased_RRT_biased_off_center_disconnected,22,169.18990542185597
17,uniform_biased_RRT_biased_off_center_disconnected,23,169.4754598303631
18,uniform_biased_RRT_biased_off_center_disconnected,24,170.52942363985062
19,uniform_biased_RRT_biased_off_center_disconnected,25,169.2474016332591
20,uniform_biased_RRT_biased_off_center_disconnected,26,169.66897394136808
21,uniform_biased_RRT_biased_off_center_disconnected,27,170.31352815947358
22,uniform_biased_RRT_biased_off_center_disconnected,28,169.4060898699251
23,uniform_biased_RRT_biased_off_center_disconnected,29,169.60546837392894
24,uniform_biased_RRT_biased_off_center_disconnected,3,169.53290235430336
25,uniform_biased_RRT_biased_off_center_disconnected,30,169.1051930758988
26,uniform_biased_RRT_biased_off_center_disconnected,31,169.08121223219192
27,uniform_biased_RRT_biased_off_center_disconnected,32,169.62570648996297
28,uniform_biased_RRT_biased_off_center_disconnected,33,168.8062037297348
29,uniform_biased_RRT_biased_off_center_disconnected,34,168.89238597813795
30,uniform_biased_RRT_biased_off_center_disconnected,35,170.1772113640943
31,uniform_biased_RRT_biased_off_center_disconnected,36,170.0275512233937
32,uniform_biased_RRT_biased_off_center_disconnected,37,170.58659986246192
33,uniform_biased_RRT_biased_off_center_disconnected,38,171.2176239022913
34,uniform_biased_RRT_biased_off_center_disconnected,39,170.1350501875697
35,uniform_biased_RRT_biased_off_center_disconnected,4,169.69348882410108
36,uniform_biased_RRT_biased_off_center_disconnected,40,170.0042598509052
37,uniform_biased_RRT_biased_off_center_disconnected,41,170.23998816334583
38,uniform_biased_RRT_biased_off_center_disconnected,42,170.73086323198748
39,uniform_biased_RRT_biased_off_center_disconnected,43,171.46597140092464
40,uniform_biased_RRT_biased_off_center_disconnected,44,169.2615499953144
41,uniform_biased_RRT_biased_off_center_disconnected,45,170.3605944197331
42,uniform_biased_RRT_biased_off_center_disconnected,46,167.66442822384428
43,uniform_biased_RRT_biased_off_center_disconnected,47,169.91178183229815
44,uniform_biased_RRT_biased_off_center_disconnected,48,167.85555655863502
45,uniform_biased_RRT_biased_off_center_disconnected,49,171.15900503778337
46,uniform_biased_RRT_biased_off_center_disconnected,5,170.24082887170334
47,uniform_biased_RRT_biased_off_center_disconnected,50,170.34680628272253
48,uniform_biased_RRT_biased_off_center_disconnected,51,169.51474658776368
49,uniform_biased_RRT_biased_off_center_disconnected,52,170.38390277916128
50,uniform_biased_RRT_biased_off_center_disconnected,53,170.91141931565093
51,uniform_biased_RRT_biased_off_center_disconnected,54,169.6769801980198
52,uniform_biased_RRT_biased_off_center_disconnected,55,169.27418905102704
53,uniform_biased_RRT_biased_off_center_disconnected,56,169.500449326011
54,uniform_biased_RRT_biased_off_center_disconnected,57,169.8531488017834
55,uniform_biased_RRT_biased_off_center_disconnected,58,170.4868035190616
56,uniform_biased_RRT_biased_off_center_disconnected,59,169.58206012814193
57,uniform_biased_RRT_biased_off_center_disconnected,6,169.04351503759398
58,uniform_biased_RRT_biased_off_center_disconnected,60,169.12911025145067
59,uniform_biased_RRT_biased_off_center_disconnected,61,169.68649330487094
60,uniform_biased_RRT_biased_off_center_disconnected,62,169.05566019966096
61,uniform_biased_RRT_biased_off_center_disconnected,63,169.3081507288897
62,uniform_biased_RRT_biased_off_center_disconnected,64,169.10609480812641
63,uniform_biased_RRT_biased_off_center_disconnected,65,168.79326130745284
64,uniform_biased_RRT_biased_off_center_disconnected,66,170.9492222779729
65,uniform_biased_RRT_biased_off_center_disconnected,67,169.71741872877243
66,uniform_biased_RRT_biased_off_center_disconnected,68,169.39079431355006
67,uniform_biased_RRT_biased_off_center_disconnected,69,169.1391983242883
68,uniform_biased_RRT_biased_off_center_disconnected,7,169.9875437512868
69,uniform_biased_RRT_biased_off_center_disconnected,70,169.83026488822094
70,uniform_biased_RRT_biased_off_center_disconnected,71,170.25318979266348
71,uniform_biased_RRT_biased_off_center_disconnected,72,170.94552216303146
72,uniform_biased_RRT_biased_off_center_disconnected,73,167.43223864742853
73,uniform_biased_RRT_biased_off_center_disconnected,74,169.78158310303988
74,uniform_biased_RRT_biased_off_center_disconnected,75,170.0709219858156
75,uniform_biased_RRT_biased_off_center_disconnected,76,171.45031945362413
76,uniform_biased_RRT_biased_off_center_disconnected,77,168.0642025130698
77,uniform_biased_RRT_biased_off_center_disconnected,78,170.02679802955666
78,uniform_biased_RRT_biased_off_center_disconnected,79,169.45619542823508
79,uniform_biased_RRT_biased_off_center_disconnected,8,170.96704557305245
80,uniform_biased_RRT_biased_off_center_disconnected,80,169.32358732033865
81,uniform_biased_RRT_biased_off_center_disconnected,81,169.62077948101393
82,uniform_biased_RRT_biased_off_center_disconnected,82,170.2381636956105
83,uniform_biased_RRT_biased_off_center_disconnected,83,170.762477764989
84,uniform_biased_RRT_biased_off_center_disconnected,84,169.69030271934326
85,uniform_biased_RRT_biased_off_center_disconnected,85,168.83712017519846
86,uniform_biased_RRT_biased_off_center_disconnected,86,170.68903848086003
87,uniform_biased_RRT_biased_off_center_disconnected,87,170.6072925398156
88,uniform_biased_RRT_biased_off_center_disconnected,88,169.33104599406528
89,uniform_biased_RRT_biased_off_center_disconnected,89,170.80159049728206
90,uniform_biased_RRT_biased_off_center_disconnected,9,169.4545815941165
91,uniform_biased_RRT_biased_off_center_disconnected,90,170.33824271159085
92,uniform_biased_RRT_biased_off_center_disconnected,91,171.00584563558903
93,uniform_biased_RRT_biased_off_center_disconnected,92,169.64975482837986
94,uniform_biased_RRT_biased_off_center_disconnected,93,167.5196407511567
95,uniform_biased_RRT_biased_off_center_disconnected,94,168.76035216718267
96,uniform_biased_RRT_biased_off_center_disconnected,95,170.87166209767489
97,uniform_biased_RRT_biased_off_center_disconnected,96,170.10155642023346
98,uniform_biased_RRT_biased_off_center_disconnected,97,169.4851408722501
99,uniform_biased_RRT_biased_off_center_disconnected,98,168.56666666666666
100,uniform_biased_RRT_biased_off_center_disconnected,99,170.21802058913465
101,uniform_biased_RRT_biased_off_center_disconnected_filter,-1,169.95128285031683
102,uniform_biased_RRT_biased_off_center_disconnected_filter,0,167.67541357672562
103,uniform_biased_RRT_biased_off_center_disconnected_filter,1,169.12002690755332
104,uniform_biased_RRT_biased_off_center_disconnected_filter,10,170.7030037432667
105,uniform_biased_RRT_biased_off_center_disconnected_filter,11,171.1687851019805
106,uniform_biased_RRT_biased_off_center_disconnected_filter,12,169.09234213226378
107,uniform_biased_RRT_biased_off_center_disconnected_filter,13,170.49571764705883
108,uniform_biased_RRT_biased_off_center_disconnected_filter,14,171.592
109,uniform_biased_RRT_biased_off_center_disconnected_filter,15,171.40892267680303
110,uniform_biased_RRT_biased_off_center_disconnected_filter,16,170.01114285714286
111,uniform_biased_RRT_biased_off_center_disconnected_filter,17,168.97799097065462
112,uniform_biased_RRT_biased_off_center_disconnected_filter,18,167.51480150581793
113,uniform_biased_RRT_biased_off_center_disconnected_filter,19,168.2882380288238
114,uniform_biased_RRT_biased_off_center_disconnected_filter,2,170.74925698434714
115,uniform_biased_RRT_biased_off_center_disconnected_filter,20,169.5060445787684
116,uniform_biased_RRT_biased_off_center_disconnected_filter,21,170.749618902439
117,uniform_biased_RRT_biased_off_center_disconnected_filter,22,168.4376984126984
118,uniform_biased_RRT_biased_off_center_disconnected_filter,23,168.18780251694096
119,uniform_biased_RRT_biased_off_center_disconnected_filter,24,170.32745721020805
120,uniform_biased_RRT_biased_off_center_disconnected_filter,25,166.80997280145058
121,uniform_biased_RRT_biased_off_center_disconnected_filter,26,169.2481673345714
122,uniform_biased_RRT_biased_off_center_disconnected_filter,27,170.53987662480722
123,uniform_biased_RRT_biased_off_center_disconnected_filter,28,168.01637971149373
124,uniform_biased_RRT_biased_off_center_disconnected_filter,29,167.97066795740562
125,uniform_biased_RRT_biased_off_center_disconnected_filter,3,170.8385822979871
126,uniform_biased_RRT_biased_off_center_disconnected_filter,30,170.0975462590507
127,uniform_biased_RRT_biased_off_center_disconnected_filter,31,168.33319788703778
128,uniform_biased_RRT_biased_off_center_disconnected_filter,32,169.12827876699214
129,uniform_biased_RRT_biased_off_center_disconnected_filter,33,168.31982621032097
130,uniform_biased_RRT_biased_off_center_disconnected_filter,34,168.54333101771448
131,uniform_biased_RRT_biased_off_center_disconnected_filter,35,170.35160511490656
132,uniform_biased_RRT_biased_off_center_disconnected_filter,36,168.42574437182282
133,uniform_biased_RRT_biased_off_center_disconnected_filter,37,169.7790399051758
134,uniform_biased_RRT_biased_off_center_disconnected_filter,38,171.88993316624897
