,experiment,num,iterations
0,uniform_biased_RRT_biased_off_center_connected,-1,178.31421299921692
1,uniform_biased_RRT_biased_off_center_connected,0,178.48521057786485
2,uniform_biased_RRT_biased_off_center_connected,1,178.61904761904762
3,uniform_biased_RRT_biased_off_center_connected,10,177.71512539184954
4,uniform_biased_RRT_biased_off_center_connected,11,177.97686728092532
5,uniform_biased_RRT_biased_off_center_connected,12,178.17316356513223
6,uniform_biased_RRT_biased_off_center_connected,13,177.8785028414658
7,uniform_biased_RRT_biased_off_center_connected,14,178.0295962367699
8,uniform_biased_RRT_biased_off_center_connected,15,178.37806072477963
9,uniform_biased_RRT_biased_off_center_connected,16,178.70189861029556
10,uniform_biased_RRT_biased_off_center_connected,17,178.12328498627988
11,uniform_biased_RRT_biased_off_center_connected,18,178.1154223006075
12,uniform_biased_RRT_biased_off_center_connected,19,178.59937279498237
13,uniform_biased_RRT_biased_off_center_connected,2,178.33601097178683
14,uniform_biased_RRT_biased_off_center_connected,20,178.18628795298727
15,uniform_biased_RRT_biased_off_center_connected,21,178.02705351891785
16,uniform_biased_RRT_biased_off_center_connected,22,178.24456628157432
17,uniform_biased_RRT_biased_off_center_connected,23,178.48316366483948
18,uniform_biased_RRT_biased_off_center_connected,24,178.2456896551724
19,uniform_biased_RRT_biased_off_center_connected,25,177.91511468339542
20,uniform_biased_RRT_biased_off_center_connected,26,177.9594356261023
21,uniform_biased_RRT_biased_off_center_connected,27,178.2372549019608
22,uniform_biased_RRT_biased_off_center_connected,28,178.3644914756026
23,uniform_biased_RRT_biased_off_center_connected,29,178.3526645768025
24,uniform_biased_RRT_biased_off_center_connected,3,177.84512840619487
25,uniform_biased_RRT_biased_off_center_connected,30,178.36016451233843
26,uniform_biased_RRT_biased_off_center_connected,31,178.44598825831702
27,uniform_biased_RRT_biased_off_center_connected,32,178.60003919263178
28,uniform_biased_RRT_biased_off_center_connected,33,178.19416144200628
29,uniform_biased_RRT_biased_off_center_connected,34,178.20783545543586
30,uniform_biased_RRT_biased_off_center_connected,35,178.49236491777603
31,uniform_biased_RRT_biased_off_center_connected,36,178.0846726773814
32,uniform_biased_RRT_biased_off_center_connected,37,178.04174833398667
33,uniform_biased_RRT_biased_off_center_connected,38,178.11193883552244
34,uniform_biased_RRT_biased_off_center_connected,39,177.8689263322884
35,uniform_biased_RRT_biased_off_center_connected,4,177.82516660133282
36,uniform_biased_RRT_biased_off_center_connected,40,177.84607843137255
37,uniform_biased_RRT_biased_off_center_connected,41,178.41939275220372
38,uniform_biased_RRT_biased_off_center_connected,42,178.1735893416928
39,uniform_biased_RRT_biased_off_center_connected,43,178.00901783963928
40,uniform_biased_RRT_biased_off_center_connected,44,178.0317149569303
41,uniform_biased_RRT_biased_off_center_connected,45,178.277375122429
42,uniform_biased_RRT_biased_off_center_connected,46,178.20474137931035
43,uniform_biased_RRT_biased_off_center_connected,47,178.09208463949844
44,uniform_biased_RRT_biased_off_center_connected,48,177.95925563173358
45,uniform_biased_RRT_biased_off_center_connected,49,178.04371691825133
46,uniform_biased_RRT_biased_off_center_connected,5,177.60552075176193
47,uniform_biased_RRT_biased_off_center_connected,50,178.13701311411236
48,uniform_biased_RRT_biased_off_center_connected,51,178.3444292148032
49,uniform_biased_RRT_biased_off_center_connected,52,178.59761112198942
50,uniform_biased_RRT_biased_off_center_connected,53,178.16826640548481
51,uniform_biased_RRT_biased_off_center_connected,54,178.44668757350058
52,uniform_biased_RRT_biased_off_center_connected,55,177.77146217169738
53,uniform_biased_RRT_biased_off_center_connected,56,178.41578535056797
54,uniform_biased_RRT_biased_off_center_connected,57,177.96923981191222
55,uniform_biased_RRT_biased_off_center_connected,58,178.41387419165196
56,uniform_biased_RRT_biased_off_center_connected,59,178.61750881316098
57,uniform_biased_RRT_biased_off_center_connected,6,178.29635437083496
58,uniform_biased_RRT_biased_off_center_connected,60,178.22132915114685
59,uniform_biased_RRT_biased_off_center_connected,61,177.7456896551724
60,uniform_biased_RRT_biased_off_center_connected,62,177.5568181818182
61,uniform_biased_RRT_biased_off_center_connected,63,178.2371154223006
62,uniform_biased_RRT_biased_off_center_connected,64,178.20176297747307
