,experiment,num,entropy
78,reference_sphere___off_center_disconnected,79,-0.1990733646869081
79,reference_sphere___off_center_disconnected,8,-0.19373930060140343
80,reference_sphere___off_center_disconnected,80,-0.19466140520871505
81,reference_sphere___off_center_disconnected,81,-0.1897693730771952
82,reference_sphere___off_center_disconnected,82,-0.1878058819140105
83,reference_sphere___off_center_disconnected,83,-0.19280637774800405
84,reference_sphere___off_center_disconnected,84,-0.191486251379947
85,reference_sphere___off_center_disconnected,85,-0.1948562666935289
86,reference_sphere___off_center_disconnected,86,-0.1938393758145275
87,reference_sphere___off_center_disconnected,87,-0.1993972022850388
88,reference_sphere___off_center_disconnected,88,-0.19539774544275068
89,reference_sphere___off_center_disconnected,89,-0.19717013952191434
90,reference_sphere___off_center_disconnected,9,-0.19552667871595436
91,reference_sphere___off_center_disconnected,90,-0.2102459543692526
92,reference_sphere___off_center_disconnected,91,-0.18638650547440366
93,reference_sphere___off_center_disconnected,92,-0.1906618553579658
94,reference_sphere___off_center_disconnected,93,-0.18716298524053507
95,reference_sphere___off_center_disconnected,94,-0.20431085086470174
96,reference_sphere___off_center_disconnected,95,-0.1867933824329368
97,reference_sphere___off_center_disconnected,96,-0.1822278481413802
98,reference_sphere___off_center_disconnected,97,-0.19482815798141506
99,reference_sphere___off_center_disconnected,98,-0.1946169663921614
100,reference_sphere___off_center_disconnected,99,-0.1924646657130278
101,uniform_biased_RRT_biased_off_center_disconnected,-1,-0.45521079487016086
102,uniform_biased_RRT_biased_off_center_disconnected,0,-0.5665707380367332
103,uniform_biased_RRT_biased_off_center_disconnected,1,-0.47005949857267654
104,uniform_biased_RRT_biased_off_center_disconnected,10,-0.32487715935595574
105,uniform_biased_RRT_biased_off_center_disconnected,11,inf
106,uniform_biased_RRT_biased_off_center_disconnected,12,-0.3389226847487883
107,uniform_biased_RRT_biased_off_center_disconnected,13,-0.40621780134361507
108,uniform_biased_RRT_biased_off_center_disconnected,14,-0.5390601395518534
109,uniform_biased_RRT_biased_off_center_disconnected,15,-0.282809490682952
110,uniform_biased_RRT_biased_off_center_disconnected,16,-0.4540175439411498
111,uniform_biased_RRT_biased_off_center_disconnected,17,-0.39558054837504697
112,uniform_biased_RRT_biased_off_center_disconnected,18,-0.4482126711213753
113,uniform_biased_RRT_biased_off_center_disconnected,19,-0.45694272710628436
114,uniform_biased_RRT_biased_off_center_disconnected,2,-0.40838868988936883
115,uniform_biased_RRT_biased_off_center_disconnected,20,-0.48184245109318197
116,uniform_biased_RRT_biased_off_center_disconnected,21,-0.4843829714894842
117,uniform_biased_RRT_biased_off_center_disconnected,22,inf
118,uniform_biased_RRT_biased_off_center_disconnected,23,-0.4912333861221205
119,uniform_biased_RRT_biased_off_center_disconnected,24,inf
120,uniform_biased_RRT_biased_off_center_disconnected,25,-0.44218059936776755
121,uniform_biased_RRT_biased_off_center_disconnected,26,-0.47684288055027374
122,uniform_biased_RRT_biased_off_center_disconnected,27,-0.3398842852200472
123,uniform_biased_RRT_biased_off_center_disconnected,28,-0.3407802529130372
124,uniform_biased_RRT_biased_off_center_disconnected,29,-0.35061072789380043
125,uniform_biased_RRT_biased_off_center_disconnected,3,-0.3831740142615064
126,uniform_biased_RRT_biased_off_center_disconnected,30,-0.4554320316264692
127,uniform_biased_RRT_biased_off_center_disconnected,31,-0.6099893950238553
128,uniform_biased_RRT_biased_off_center_disconnected,32,-0.4718261618500013
129,uniform_biased_RRT_biased_off_center_disconnected,33,-0.4427402141244827
130,uniform_biased_RRT_biased_off_center_disconnected,34,-0.4404032505954061
131,uniform_biased_RRT_biased_off_center_disconnected,35,-0.4961712718304638
