,experiment,num,variance
0,reference_sphere___off_center_disconnected,-1,0.14079971175630307
1,reference_sphere___off_center_disconnected,0,0.15464515071667398
2,reference_sphere___off_center_disconnected,1,0.12427197985803573
3,reference_sphere___off_center_disconnected,10,0.12726886133486073
4,reference_sphere___off_center_disconnected,11,0.13393325598502667
5,reference_sphere___off_center_disconnected,12,0.1233327904461897
6,reference_sphere___off_center_disconnected,13,0.12781758923372785
7,reference_sphere___off_center_disconnected,14,0.11976088259040991
8,reference_sphere___off_center_disconnected,15,0.1408870531497103
9,reference_sphere___off_center_disconnected,16,0.13509912277424505
10,reference_sphere___off_center_disconnected,17,0.13331224573587702
11,reference_sphere___off_center_disconnected,18,0.1357433575721119
12,reference_sphere___off_center_disconnected,19,0.13137184685602224
13,reference_sphere___off_center_disconnected,2,0.11807107353534686
14,reference_sphere___off_center_disconnected,20,0.13160988856296957
15,reference_sphere___off_center_disconnected,21,0.1287693273889504
16,reference_sphere___off_center_disconnected,22,0.13237717748087655
17,reference_sphere___off_center_disconnected,23,0.13488169085526563
18,reference_sphere___off_center_disconnected,24,0.12773817165677734
19,reference_sphere___off_center_disconnected,25,0.11520161863409634
20,reference_sphere___off_center_disconnected,26,0.133097955438672
21,reference_sphere___off_center_disconnected,27,0.1314641232107945
22,reference_sphere___off_center_disconnected,28,0.12339422383853682
23,reference_sphere___off_center_disconnected,29,0.12667035038063784
24,reference_sphere___off_center_disconnected,3,0.13528929055574973
25,reference_sphere___off_center_disconnected,30,0.11888126810138534
26,reference_sphere___off_center_disconnected,31,0.12314927742250178
27,reference_sphere___off_center_disconnected,32,0.12784283387225065
28,reference_sphere___off_center_disconnected,33,0.13635759084044224
29,reference_sphere___off_center_disconnected,34,0.11994350632263166
30,reference_sphere___off_center_disconnected,35,0.1449902104806586
31,reference_sphere___off_center_disconnected,36,0.13874158976154435
32,reference_sphere___off_center_disconnected,37,0.14375066463109848
33,reference_sphere___off_center_disconnected,38,0.13437606782226993
34,reference_sphere___off_center_disconnected,39,0.13690565408536728
35,reference_sphere___off_center_disconnected,4,0.1447977279224501
36,reference_sphere___off_center_disconnected,40,0.1270380606540736
37,reference_sphere___off_center_disconnected,41,0.1379166131024497
38,reference_sphere___off_center_disconnected,42,0.1290599051769427
39,reference_sphere___off_center_disconnected,43,0.1344413567630516
40,reference_sphere___off_center_disconnected,44,0.12888351329894251
41,reference_sphere___off_center_disconnected,45,0.1364753855626594
42,reference_sphere___off_center_disconnected,46,0.12100589356752951
43,reference_sphere___off_center_disconnected,47,0.14467596036885694
44,reference_sphere___off_center_disconnected,48,0.13583130715915084
45,reference_sphere___off_center_disconnected,49,0.12677699027567957
46,reference_sphere___off_center_disconnected,5,0.1368421034641281
47,reference_sphere___off_center_disconnected,50,0.14323491201231636
48,reference_sphere___off_center_disconnected,51,0.13734437218270168
49,reference_sphere___off_center_disconnected,52,0.13198789670869626
50,reference_sphere___off_center_disconnected,53,0.1296175395135557
51,reference_sphere___off_center_disconnected,54,0.12267553042696
52,reference_sphere___off_center_disconnected,55,0.11876798224116959
53,reference_sphere___off_center_disconnected,56,0.1269998694285021
54,reference_sphere___off_center_disconnected,57,0.12268281615472297
55,reference_sphere___off_center_disconnected,58,0.1243946398412603
56,reference_sphere___off_center_disconnected,59,0.1270666386905249
57,reference_sphere___off_center_disconnected,6,0.12401369364640732
58,reference_sphere___off_center_disconnected,60,0.12861498043874048
59,reference_sphere___off_center_disconnected,61,0.14321206854645768
60,reference_sphere___off_center_disconnected,62,0.1213265995354969
61,reference_sphere___off_center_disconnected,63,0.13813122879573356
62,reference_sphere___off_center_disconnected,64,0.12261573337510596
63,reference_sphere___off_center_disconnected,65,0.14362321351758925
64,reference_sphere___off_center_disconnected,66,0.13146004358927335
65,reference_sphere___off_center_disconnected,67,0.12161132729042555
66,reference_sphere___off_center_disconnected,68,0.13876154858872802
67,reference_sphere___off_center_disconnected,69,0.12470571364820501
68,reference_sphere___off_center_disconnected,7,0.12479516257411816
69,reference_sphere___off_center_disconnected,70,0.1361742938442149
70,reference_sphere___off_center_disconnected,71,0.1269083629678702
71,reference_sphere___off_center_disconnected,72,0.13535201627054966
72,reference_sphere___off_center_disconnected,73,0.1212191813749535
73,reference_sphere___off_center_disconnected,74,0.11840136541258871
74,reference_sphere___off_center_disconnected,75,0.12508060430121104
75,reference_sphere___off_center_disconnected,76,0.14079067556112201
76,reference_sphere___off_center_disconnected,77,0.1303890697472283
77,reference_sphere___off_center_disconnected,78,0.1299925542620095
78,reference_sphere___off_center_disconnected,79,0.13079275602877335
79,reference_sphere___off_center_disconnected,8,0.1263950490645596
80,reference_sphere___off_center_disconnected,80,0.13947811705190896
81,reference_sphere___off_center_disconnected,81,0.13450833994353373
82,reference_sphere___off_center_disconnected,82,0.13165612978910707
83,reference_sphere___off_center_disconnected,83,0.12960653653313325
84,reference_sphere___off_center_disconnected,84,0.12299468791838183
85,reference_sphere___off_center_disconnected,85,0.1417936306772392
86,reference_sphere___off_center_disconnected,86,0.12703497850877543
87,reference_sphere___off_center_disconnected,87,0.13851483151178015
88,reference_sphere___off_center_disconnected,88,0.12278861726401588
89,reference_sphere___off_center_disconnected,89,0.1383644423276478
90,reference_sphere___off_center_disconnected,9,0.13167275133724954
91,reference_sphere___off_center_disconnected,90,0.1478055192799387
92,reference_sphere___off_center_disconnected,91,0.13278706899299694
93,reference_sphere___off_center_disconnected,92,0.130143960140282
94,reference_sphere___off_center_disconnected,93,0.12441959689372749
95,reference_sphere___off_center_disconnected,94,0.13971042144863513
96,reference_sphere___off_center_disconnected,95,0.12917179157382955
97,reference_sphere___off_center_disconnected,96,0.11854556978600658
98,reference_sphere___off_center_disconnected,97,0.1307466388210807
99,reference_sphere___off_center_disconnected,98,0.14364451762449656
100,reference_sphere___off_center_disconnected,99,0.13992391928608283
101,uniform_biased_RRT_biased_off_center_disconnected,-1,0.9959776311614063
102,uniform_biased_RRT_biased_off_center_disconnected,0,1.525568875195597
103,uniform_biased_RRT_biased_off_center_disconnected,1,1.8116450053302071
104,uniform_biased_RRT_biased_off_center_disconnected,10,0.96271890736018
105,uniform_biased_RRT_biased_off_center_disconnected,11,1.04500932505617
106,uniform_biased_RRT_biased_off_center_disconnected,12,1.1251349216785695
107,uniform_biased_RRT_biased_off_center_disconnected,13,0.632386266623476
108,uniform_biased_RRT_biased_off_center_disconnected,14,1.4070595181592818
109,uniform_biased_RRT_biased_off_center_disconnected,15,0.7906581570450786
110,uniform_biased_RRT_biased_off_center_disconnected,16,1.244590688526077
111,uniform_biased_RRT_biased_off_center_disconnected,17,0.9811590828997153
112,uniform_biased_RRT_biased_off_center_disconnected,18,1.3889982574784083
113,uniform_biased_RRT_biased_off_center_disconnected,19,2.222720934709763
114,uniform_biased_RRT_biased_off_center_disconnected,2,1.3763071141608094
115,uniform_biased_RRT_biased_off_center_disconnected,20,1.289357220882655
116,uniform_biased_RRT_biased_off_center_disconnected,21,1.8596060971864214
117,uniform_biased_RRT_biased_off_center_disconnected,22,0.8200755531188532
118,uniform_biased_RRT_biased_off_center_disconnected,23,0.9727096783680729
119,uniform_biased_RRT_biased_off_center_disconnected,24,2.202209621128723
120,uniform_biased_RRT_biased_off_center_disconnected,25,2.0271058593410722
121,uniform_biased_RRT_biased_off_center_disconnected,26,2.9420799449688384
122,uniform_biased_RRT_biased_off_center_disconnected,27,1.0537724845646546
123,uniform_biased_RRT_biased_off_center_disconnected,28,0.8574953358752953
124,uniform_biased_RRT_biased_off_center_disconnected,29,0.9514141185749537
125,uniform_biased_RRT_biased_off_center_disconnected,3,1.4055062007000507
126,uniform_biased_RRT_biased_off_center_disconnected,30,1.902926865947771
127,uniform_biased_RRT_biased_off_center_disconnected,31,3.764123623090763
128,uniform_biased_RRT_biased_off_center_disconnected,32,1.7850981074585683
129,uniform_biased_RRT_biased_off_center_disconnected,33,1.076545798863393
130,uniform_biased_RRT_biased_off_center_disconnected,34,1.1407018185467952
131,uniform_biased_RRT_biased_off_center_disconnected,35,2.9342006682184087
132,uniform_biased_RRT_biased_off_center_disconnected,36,1.6336413969874066
133,uniform_biased_RRT_biased_off_center_disconnected,37,2.2695020968905086
134,uniform_biased_RRT_biased_off_center_disconnected,38,1.2890054638538673
135,uniform_biased_RRT_biased_off_center_disconnected,39,2.2070554660287556
136,uniform_biased_RRT_biased_off_center_disconnected,4,1.2023062819848567
137,uniform_biased_RRT_biased_off_center_disconnected,40,1.3641941730657776
138,uniform_biased_RRT_biased_off_center_disconnected,41,1.949670399978179
139,uniform_biased_RRT_biased_off_center_disconnected,42,1.9095160906921402
140,uniform_biased_RRT_biased_off_center_disconnected,43,1.0888836244825653
141,uniform_biased_RRT_biased_off_center_disconnected,44,1.3286080933190108
142,uniform_biased_RRT_biased_off_center_disconnected,45,1.2304145916474438
143,uniform_biased_RRT_biased_off_center_disconnected,46,1.3713132037193694
144,uniform_biased_RRT_biased_off_center_disconnected,47,1.6301235475117548
145,uniform_biased_RRT_biased_off_center_disconnected,48,1.3354490910382173
146,uniform_biased_RRT_biased_off_center_disconnected,49,2.104217449007894
147,uniform_biased_RRT_biased_off_center_disconnected,5,0.7609528047940542
148,uniform_biased_RRT_biased_off_center_disconnected,50,2.11929183539173
149,uniform_biased_RRT_biased_off_center_disconnected,51,1.3540822664546956
150,uniform_biased_RRT_biased_off_center_disconnected,52,1.5468580684519417
151,uniform_biased_RRT_biased_off_center_disconnected,53,1.0442633618067143
152,uniform_biased_RRT_biased_off_center_disconnected,54,1.252304306107693
153,uniform_biased_RRT_biased_off_center_disconnected,55,1.4868921734472662
154,uniform_biased_RRT_biased_off_center_disconnected,56,1.1813523704328805
155,uniform_biased_RRT_biased_off_center_disconnected,57,1.9294101694182262
156,uniform_biased_RRT_biased_off_center_disconnected,58,0.6031691922896371
157,uniform_biased_RRT_biased_off_center_disconnected,59,1.0849840843137593
158,uniform_biased_RRT_biased_off_center_disconnected,6,1.5749916284397545
159,uniform_biased_RRT_biased_off_center_disconnected,60,1.6175523876215028
160,uniform_biased_RRT_biased_off_center_disconnected,61,1.6522725213368465
161,uniform_biased_RRT_biased_off_center_disconnected,62,0.961695776899166
162,uniform_biased_RRT_biased_off_center_disconnected,63,0.866764372298458
163,uniform_biased_RRT_biased_off_center_disconnected,64,0.6619705337704002
164,uniform_biased_RRT_biased_off_center_disconnected,65,1.2154149930407578
165,uniform_biased_RRT_biased_off_center_disconnected,66,1.6533276227751572
166,uniform_biased_RRT_biased_off_center_disconnected,67,2.135282383735606
167,uniform_biased_RRT_biased_off_center_disconnected,68,1.254496877853188
168,uniform_biased_RRT_biased_off_center_disconnected,69,0.806718716709653
169,uniform_biased_RRT_biased_off_center_disconnected,7,0.5518029442581647
170,uniform_biased_RRT_biased_off_center_disconnected,70,0.8813319621344718
171,uniform_biased_RRT_biased_off_center_disconnected,71,1.041369883294457
172,uniform_biased_RRT_biased_off_center_disconnected,72,1.6541096010492244
173,uniform_biased_RRT_biased_off_center_disconnected,73,1.5329040785847368
174,uniform_biased_RRT_biased_off_center_disconnected,74,1.6057502925558746
175,uniform_biased_RRT_biased_off_center_disconnected,75,1.3833190762931393
176,uniform_biased_RRT_biased_off_center_disconnected,76,0.8068514906327473
177,uniform_biased_RRT_biased_off_center_disconnected,77,0.9600354112379296
178,uniform_biased_RRT_biased_off_center_disconnected,78,1.4842042772728945
179,uniform_biased_RRT_biased_off_center_disconnected,79,1.3005918607605829
