,experiment,num,variance
0,reference_sphere___off_center_connected,-1,0.0024672060217953216
1,reference_sphere___off_center_connected,0,0.0024164891987937674
2,reference_sphere___off_center_connected,1,0.0024724825598390426
3,reference_sphere___off_center_connected,10,0.002020101663608876
4,reference_sphere___off_center_connected,11,0.0021500277805631416
5,reference_sphere___off_center_connected,12,0.002174891785994924
6,reference_sphere___off_center_connected,13,0.002276321656677838
7,reference_sphere___off_center_connected,14,0.002340821586017153
8,reference_sphere___off_center_connected,15,0.0020854962189888154
9,reference_sphere___off_center_connected,16,0.001988342491786781
10,reference_sphere___off_center_connected,17,0.0022656145316535723
11,reference_sphere___off_center_connected,18,0.002391746972833985
12,reference_sphere___off_center_connected,19,0.0024972280966711973
13,reference_sphere___off_center_connected,2,0.002063260566261212
14,reference_sphere___off_center_connected,20,0.0020756688242995697
15,reference_sphere___off_center_connected,21,0.0021959503521936396
16,reference_sphere___off_center_connected,22,0.00222236409740096
17,reference_sphere___off_center_connected,23,0.0022064294728226645
18,reference_sphere___off_center_connected,24,0.002224580336313014
19,reference_sphere___off_center_connected,25,0.0022648926518881343
20,reference_sphere___off_center_connected,26,0.0020537076844008217
21,reference_sphere___off_center_connected,27,0.0028567813057102753
22,reference_sphere___off_center_connected,28,0.0023978427118256963
23,reference_sphere___off_center_connected,29,0.0025269804889576663
24,reference_sphere___off_center_connected,3,0.0024072509233588175
25,reference_sphere___off_center_connected,30,0.00249823841794153
26,reference_sphere___off_center_connected,31,0.0027995652217360713
27,reference_sphere___off_center_connected,32,0.0021477395874828103
28,reference_sphere___off_center_connected,33,0.001965432380507816
29,reference_sphere___off_center_connected,34,0.001949587561547093
30,reference_sphere___off_center_connected,35,0.002334785416224323
31,reference_sphere___off_center_connected,36,0.002740814151371509
32,reference_sphere___off_center_connected,37,0.002114576388257056
33,reference_sphere___off_center_connected,38,0.0024168030679174992
34,reference_sphere___off_center_connected,39,0.002265192328112444
35,reference_sphere___off_center_connected,4,0.0023494281986057874
36,reference_sphere___off_center_connected,40,0.0025117157495072795
37,reference_sphere___off_center_connected,41,0.0029887730286241084
38,reference_sphere___off_center_connected,42,0.0023489863309738364
39,reference_sphere___off_center_connected,43,0.0021268886399219704
40,reference_sphere___off_center_connected,44,0.0022943364511439457
41,reference_sphere___off_center_connected,45,0.002193681993411314
42,reference_sphere___off_center_connected,46,0.002625406836700636
43,reference_sphere___off_center_connected,47,0.002386858482432395
44,reference_sphere___off_center_connected,48,0.001694558425554001
45,reference_sphere___off_center_connected,49,0.002319697968011762
46,reference_sphere___off_center_connected,5,0.0018069227914520201
47,reference_sphere___off_center_connected,50,0.0019213705938358097
48,reference_sphere___off_center_connected,51,0.002180899363651737
49,reference_sphere___off_center_connected,52,0.0023673849354247105
50,reference_sphere___off_center_connected,53,0.001913351398956936
51,reference_sphere___off_center_connected,54,0.0022078602274541097
52,reference_sphere___off_center_connected,55,0.0018276678444306843
53,reference_sphere___off_center_connected,56,0.00212260288998777
54,reference_sphere___off_center_connected,57,0.002311742224945837
55,reference_sphere___off_center_connected,58,0.0024008426218495283
56,reference_sphere___off_center_connected,59,0.002323524802085966
57,reference_sphere___off_center_connected,6,0.002497905692382178
58,reference_sphere___off_center_connected,60,0.002098338454503356
59,reference_sphere___off_center_connected,61,0.002626059704309949
60,reference_sphere___off_center_connected,62,0.0019971278988958254
61,reference_sphere___off_center_connected,63,0.002047247726030697
62,reference_sphere___off_center_connected,64,0.002562847128857096
63,reference_sphere___off_center_connected,65,0.0023549628527625875
64,reference_sphere___off_center_connected,66,0.0021529624607867326
65,reference_sphere___off_center_connected,67,0.002286294507598524
66,reference_sphere___off_center_connected,68,0.001992754960136595
67,reference_sphere___off_center_connected,69,0.0019171278106082858
68,reference_sphere___off_center_connected,7,0.0020857073322210823
69,reference_sphere___off_center_connected,70,0.0020419241181241945
70,reference_sphere___off_center_connected,71,0.0018918118994848993
71,reference_sphere___off_center_connected,72,0.00241746567675304
72,reference_sphere___off_center_connected,73,0.002151496145436566
73,reference_sphere___off_center_connected,74,0.002633188341147378
74,reference_sphere___off_center_connected,75,0.0028699993249642268
75,reference_sphere___off_center_connected,76,0.002018558008357747
76,reference_sphere___off_center_connected,77,0.002828399177421082
77,reference_sphere___off_center_connected,78,0.002297789920709729
78,reference_sphere___off_center_connected,79,0.0023997856161559502
79,reference_sphere___off_center_connected,8,0.0021606078197937387
80,reference_sphere___off_center_connected,80,0.002113678631946879
81,reference_sphere___off_center_connected,81,0.0021335589349260066
82,reference_sphere___off_center_connected,82,0.0022640056818457265
83,reference_sphere___off_center_connected,83,0.0026422698879266177
84,reference_sphere___off_center_connected,84,0.0027252591568646197
85,reference_sphere___off_center_connected,85,0.002373341247317163
86,reference_sphere___off_center_connected,86,0.0022036287844677963
87,reference_sphere___off_center_connected,87,0.001998824363430433
88,reference_sphere___off_center_connected,88,0.002248183325845476
89,reference_sphere___off_center_connected,89,0.002171165313516161
90,reference_sphere___off_center_connected,9,0.0026526706420768524
91,reference_sphere___off_center_connected,90,0.002224205863260892
92,reference_sphere___off_center_connected,91,0.002006835013396356
93,reference_sphere___off_center_connected,92,0.002073265433262411
94,reference_sphere___off_center_connected,93,0.0018477515230527668
95,reference_sphere___off_center_connected,94,0.0021841861458312553
96,reference_sphere___off_center_connected,95,0.0022805233540626026
97,reference_sphere___off_center_connected,96,0.0024841352374269303
98,reference_sphere___off_center_connected,97,0.0022945479343460394
