,experiment,num,iterations
0,uniform_biased_RRT_biased_center_connected,-1,178.96878048780488
1,uniform_biased_RRT_biased_center_connected,0,178.5411213127564
2,uniform_biased_RRT_biased_center_connected,1,178.55601173020528
3,uniform_biased_RRT_biased_center_connected,10,178.58014073494917
4,uniform_biased_RRT_biased_center_connected,11,178.92779078844652
5,uniform_biased_RRT_biased_center_connected,12,178.562829783076
6,uniform_biased_RRT_biased_center_connected,13,178.6724609375
7,uniform_biased_RRT_biased_center_connected,14,178.57181996086106
8,uniform_biased_RRT_biased_center_connected,15,178.50136825645035
9,uniform_biased_RRT_biased_center_connected,16,178.37825151574418
10,uniform_biased_RRT_biased_center_connected,17,178.70469667318983
11,uniform_biased_RRT_biased_center_connected,18,177.87526923830038
12,uniform_biased_RRT_biased_center_connected,19,178.306971294669
13,uniform_biased_RRT_biased_center_connected,2,178.6055512118843
14,uniform_biased_RRT_biased_center_connected,20,178.5962854349951
15,uniform_biased_RRT_biased_center_connected,21,178.09794721407624
16,uniform_biased_RRT_biased_center_connected,22,178.84579348038258
17,uniform_biased_RRT_biased_center_connected,23,178.47977330467072
18,uniform_biased_RRT_biased_center_connected,24,178.31137607505863
19,uniform_biased_RRT_biased_center_connected,25,178.1422986708366
20,uniform_biased_RRT_biased_center_connected,26,178.5586166471278
21,uniform_biased_RRT_biased_center_connected,27,178.87861610633308
22,uniform_biased_RRT_biased_center_connected,28,178.56494522691705
23,uniform_biased_RRT_biased_center_connected,29,177.8509596553075
24,uniform_biased_RRT_biased_center_connected,3,178.0871694417238
25,uniform_biased_RRT_biased_center_connected,30,178.107177782124
26,uniform_biased_RRT_biased_center_connected,31,178.74868086769592
27,uniform_biased_RRT_biased_center_connected,32,178.75562072336265
28,uniform_biased_RRT_biased_center_connected,33,178.82785602503913
29,uniform_biased_RRT_biased_center_connected,34,178.70390625
30,uniform_biased_RRT_biased_center_connected,35,178.22647403358064
31,uniform_biased_RRT_biased_center_connected,36,178.93602034826844
32,uniform_biased_RRT_biased_center_connected,37,178.80848982785602
33,uniform_biased_RRT_biased_center_connected,38,178.58701603441534
34,uniform_biased_RRT_biased_center_connected,39,178.43566679702778
35,uniform_biased_RRT_biased_center_connected,4,178.95892018779344
36,uniform_biased_RRT_biased_center_connected,40,178.3877151799687
37,uniform_biased_RRT_biased_center_connected,41,178.930078125
38,uniform_biased_RRT_biased_center_connected,42,178.76769651935862
39,uniform_biased_RRT_biased_center_connected,43,178.4122361219703
40,uniform_biased_RRT_biased_center_connected,44,178.20238560813453
41,uniform_biased_RRT_biased_center_connected,45,178.5571818891491
42,uniform_biased_RRT_biased_center_connected,46,178.68021892103206
43,uniform_biased_RRT_biased_center_connected,47,178.77225591860693
