,experiment,num,entropy
0,reference_sphere___center_connected,-1,1.1378405218739656
1,reference_sphere___center_connected,0,1.1390014236196846
2,reference_sphere___center_connected,1,1.1349869073286463
3,reference_sphere___center_connected,10,1.1376664658276383
4,reference_sphere___center_connected,11,1.1331562450276125
5,reference_sphere___center_connected,12,1.1427825889293202
6,reference_sphere___center_connected,13,1.1390102827844815
7,reference_sphere___center_connected,14,1.1379636896850287
8,reference_sphere___center_connected,15,1.139471150829293
9,reference_sphere___center_connected,16,1.1407448524917687
10,reference_sphere___center_connected,17,1.1375367075204288
11,reference_sphere___center_connected,18,1.1401310516845857
12,reference_sphere___center_connected,19,1.1389479859259317
13,reference_sphere___center_connected,2,1.1392388307948722
14,reference_sphere___center_connected,20,1.1359540068061045
15,reference_sphere___center_connected,21,1.1393177973903637
16,reference_sphere___center_connected,22,1.1357433552454643
17,reference_sphere___center_connected,23,1.1389841588994445
18,reference_sphere___center_connected,24,1.137924141813431
19,reference_sphere___center_connected,25,1.1371821744397868
20,reference_sphere___center_connected,26,1.1380946274064327
21,reference_sphere___center_connected,27,1.1378708483542155
22,reference_sphere___center_connected,28,1.138742715403821
23,reference_sphere___center_connected,29,1.1370319392015729
24,reference_sphere___center_connected,3,1.1359700690443126
25,reference_sphere___center_connected,30,1.1383982655227174
26,reference_sphere___center_connected,31,1.1369290181720348
27,reference_sphere___center_connected,32,1.135939085579947
28,reference_sphere___center_connected,33,1.1380828128313776
29,reference_sphere___center_connected,34,1.1369645906929917
30,reference_sphere___center_connected,35,1.1376021748281542
31,reference_sphere___center_connected,36,1.138535002631593
32,reference_sphere___center_connected,37,1.1395786740405394
33,reference_sphere___center_connected,38,1.13892659797439
34,reference_sphere___center_connected,39,1.1375422214580921
35,reference_sphere___center_connected,4,1.1353566898461065
36,reference_sphere___center_connected,40,1.1403646826978082
37,reference_sphere___center_connected,41,1.1388569969269966
38,reference_sphere___center_connected,42,1.135298183108016
39,reference_sphere___center_connected,43,1.135843733736585
40,reference_sphere___center_connected,44,1.1395674415752723
41,reference_sphere___center_connected,45,1.1377537539102733
42,reference_sphere___center_connected,46,1.1387350830946104
43,reference_sphere___center_connected,47,1.1384702766900594
44,reference_sphere___center_connected,48,1.1368004835517629
45,reference_sphere___center_connected,49,1.1374196219764232
46,reference_sphere___center_connected,5,1.1378562799307932
47,reference_sphere___center_connected,50,1.137803030784898
48,reference_sphere___center_connected,51,1.1349794087740825
49,reference_sphere___center_connected,52,1.1357302797625675
50,reference_sphere___center_connected,53,1.1394735000770733
51,reference_sphere___center_connected,54,1.1396306562168632
52,reference_sphere___center_connected,55,1.1364673325604853
53,reference_sphere___center_connected,56,1.1388617805574914
54,reference_sphere___center_connected,57,1.134599664861203
55,reference_sphere___center_connected,58,1.1376598750774756
56,reference_sphere___center_connected,59,1.1362785865024079
57,reference_sphere___center_connected,6,1.134810061698539
58,reference_sphere___center_connected,60,1.134209901484479
59,reference_sphere___center_connected,61,1.1351890922210903
60,reference_sphere___center_connected,62,1.137619651769015
61,reference_sphere___center_connected,63,1.1352873902671528
62,reference_sphere___center_connected,64,1.1385145674461898
63,reference_sphere___center_connected,65,1.1391979346978132
64,reference_sphere___center_connected,66,1.1380385658787735
65,reference_sphere___center_connected,67,1.13603011266877
66,reference_sphere___center_connected,68,1.13679955178665
67,reference_sphere___center_connected,69,1.13790202569793
68,reference_sphere___center_connected,7,1.1341105505251825
69,reference_sphere___center_connected,70,1.1395593334290992
70,reference_sphere___center_connected,71,1.136903982339862
